-47.44,-6.23,-47.22,0.658824,0.666667,0.776471
-60.20,3.96,-3.12,0.803922,0.831373,0.941176
-60.44,4.43,-3.13,0.721569,0.686275,0.8
-60.43,5.56,-3.86,0.639216,0.713725,0.909804
-60.66,6.77,-3.55,0.564706,0.666667,0.886275
-60.43,7.50,-3.47,0.584314,0.694118,0.901961
-60.66,4.86,-2.55,0.831373,0.847059,0.94902
-60.66,5.78,-2.61,0.827451,0.854902,0.956863
-59.75,3.96,-3.42,0.631373,0.721569,0.921569
-59.75,4.42,-3.57,0.619608,0.564706,0.756863
-59.75,5.54,-3.45,0.666667,0.631373,0.803922
-59.75,6.87,-3.47,0.584314,0.682353,0.894118
-58.83,6.70,-3.31,0.611765,0.647059,0.858824
-59.52,7.38,-3.14,0.603922,0.701961,0.909804
-58.61,7.61,-3.09,0.6,0.694118,0.901961
-59.97,4.99,-2.78,0.694118,0.647059,0.768627
-59.52,5.78,-2.46,0.792157,0.776471,0.882353
-58.61,6.02,-2.32,0.666667,0.737255,0.921569
-58.61,6.01,-1.64,0.819608,0.803922,0.886275
-59.52,6.47,-2.10,0.839216,0.847059,0.941176
-58.60,6.70,-2.46,0.639216,0.631373,0.819608
-58.08,7.61,-2.44,0.611765,0.627451,0.811765
-59.52,6.70,-1.82,0.854902,0.847059,0.937255
-58.61,6.92,-1.21,0.741176,0.729412,0.831373
-59.29,7.84,-1.76,0.847059,0.858824,0.94902
-58.38,7.84,-1.50,0.756863,0.729412,0.831373
-57.81,6.95,-2.09,0.584314,0.682353,0.901961
-57.70,7.95,-2.44,0.603922,0.631373,0.811765
-57.44,6.92,-1.19,0.811765,0.803922,0.921569
-57.59,7.84,-1.41,0.776471,0.792157,0.909804
-56.33,8.16,-1.19,0.6,0.694118,0.909804
-58.36,7.84,-0.73,0.866667,0.858824,0.94902
-57.76,7.15,-0.73,0.87451,0.894118,0.984314
-57.31,7.84,-0.73,0.784314,0.764706,0.866667
-56.44,8.29,-0.50,0.6,0.694118,0.909804
-58.38,8.75,-2.65,0.619608,0.721569,0.921569
-58.15,9.66,-2.48,0.611765,0.709804,0.913725
-58.61,8.75,-1.29,0.831373,0.839216,0.921569
-57.47,8.98,-2.38,0.619608,0.686275,0.866667
-57.50,10.11,-2.09,0.603922,0.709804,0.913725
-57.47,8.98,-1.39,0.756863,0.741176,0.847059
-56.33,8.94,-1.39,0.584314,0.686275,0.901961
-57.00,9.75,-1.41,0.658824,0.658824,0.831373
-56.33,10.04,-1.41,0.627451,0.603922,0.784314
-57.47,11.03,-1.98,0.6,0.701961,0.913725
-57.24,11.03,-1.84,0.592157,0.694118,0.909804
-56.33,11.25,-1.58,0.619608,0.701961,0.901961
-56.99,11.94,-1.64,0.603922,0.709804,0.921569
-56.33,12.39,-1.27,0.611765,0.713725,0.913725
-55.64,9.20,-1.19,0.584314,0.686275,0.909804
